           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.378;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.381;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.346;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.313;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.323;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.33;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.334;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.292;"KALIMANTAN UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.365;"SULAWESI UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.316;"SULAWESI TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.382;"SULAWESI SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.39;"SULAWESI TENGGARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.408;GORONTALO
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.356;"SULAWESI BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.314;MALUKU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.3;"MALUKU UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.38;"PAPUA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.397;PAPUA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";0.384;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.323;ACEH
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.316;"SUMATERA UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.305;"SUMATERA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.329;RIAU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.32;JAMBI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.339;"SUMATERA SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.334;BENGKULU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.327;LAMPUNG
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.262;"KEP. BANGKA BELITUNG"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.339;"KEP. RIAU"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.399;"DKI JAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.403;"JAWA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.362;"JAWA TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.434;"DI YOGYAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.366;"JAWA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.363;BANTEN
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.369;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.376;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.354;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.317;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.329;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.332;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.328;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.292;"KALIMANTAN UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.37;"SULAWESI UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.326;"SULAWESI TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.389;"SULAWESI SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.389;"SULAWESI TENGGARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.408;GORONTALO
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.364;"SULAWESI BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.318;MALUKU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.308;"MALUKU UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.382;"PAPUA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.392;PAPUA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2020;"Semester 1 (Maret)";0.381;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.32;ACEH
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.32;"SUMATERA UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.31;"SUMATERA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;RIAU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.32;JAMBI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;"SUMATERA SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.34;BENGKULU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;LAMPUNG
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.27;"KEP. BANGKA BELITUNG"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.34;"KEP. RIAU"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.39;"DKI JAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.4;"JAWA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.36;"JAWA TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.42;"DI YOGYAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.37;"JAWA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.37;BANTEN
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.37;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.38;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.36;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.34;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.3;"KALIMANTAN UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.37;"SULAWESI UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.33;"SULAWESI TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.39;"SULAWESI SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.4;"SULAWESI TENGGARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.41;GORONTALO
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.37;"SULAWESI BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.32;MALUKU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.31;"MALUKU UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.39;"PAPUA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.39;PAPUA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";0.38;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.325;ACEH
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.318;"SUMATERA UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.321;"SUMATERA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.327;RIAU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.334;JAMBI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.358;"SUMATERA SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.362;BENGKULU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.346;LAMPUNG
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.281;"KEP. BANGKA BELITUNG"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.33;"KEP. RIAU"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.394;"DKI JAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.407;"JAWA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.378;"JAWA TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.441;"DI YOGYAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.379;"JAWA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.385;BANTEN
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.377;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.372;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.351;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.339;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.342;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.344;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.342;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.303;"KALIMANTAN UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.394;"SULAWESI UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.346;"SULAWESI TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.397;"SULAWESI SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.409;"SULAWESI TENGGARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.403;GORONTALO
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.37;"SULAWESI BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.343;MALUKU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.328;"MALUKU UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.394;"PAPUA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.384;PAPUA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";0.389;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.32878;ACEH
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.31498;"SUMATERA UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.31802;"SUMATERA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.32493;RIAU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.33523;JAMBI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.36139;"SUMATERA SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.35099;BENGKULU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.33433;LAMPUNG
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.28169;"KEP. BANGKA BELITUNG"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.33438;"KEP. RIAU"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.41277;"DKI JAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.40304;"JAWA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.36545;"JAWA TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.43201;"DI YOGYAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.3963;"JAWA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.38245;BANTEN
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.38421;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.37106;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.35886;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.32736;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.34255;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.34669;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.33035;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.30833;"KALIMANTAN UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.39593;"SULAWESI UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.35546;"SULAWESI TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.40709;"SULAWESI SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.39368;"SULAWESI TENGGARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.42965;GORONTALO
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.35387;"SULAWESI BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.34294;MALUKU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.31724;"MALUKU UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.38974;"PAPUA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.39681;PAPUA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";0.39261;INDONESIA
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.333;ACEH
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.319;"SUMATERA UTARA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.331;"SUMATERA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.347;RIAU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.349;JAMBI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.348;"SUMATERA SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.357;BENGKULU
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.364;LAMPUNG
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.275;"KEP. BANGKA BELITUNG"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.354;"KEP. RIAU"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.411;"DKI JAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.413;"JAWA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.366;"JAWA TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.42;"DI YOGYAKARTA"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.402;"JAWA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.394;BANTEN
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.366;BALI
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.359;"NUSA TENGGARA BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.336;"NUSA TENGGARA TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.341;"KALIMANTAN BARAT"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.33;"KALIMANTAN TENGAH"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.332;"KALIMANTAN SELATAN"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.315;"KALIMANTAN TIMUR"
"Gini Ratio Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2016;"Semester 1 (Maret)";0.3;"KALIMANTAN UTARA"
